"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","defense response to other organism","GO:0098542","false","1.5558324728447414e-9","8.808037168294938","1220","66","23","21031","VIM,ANXA1,TF,IGHG1,HLA-A,HPX,IGHG2,S100A8,JCHAIN,C3,PRDX1,S100A9,IGHM,A2M,TRY8,LCN2,LTF,LYZ,MPO,BPIFA1,DEFA1,ELANE,PRTN3"
"GO:BP","response to stress","GO:0006950","false","2.1041539499715057e-9","8.676922488293409","3855","66","38","21031","LMNA,ANXA2,VIM,FBP1,MYL9,ANXA5,ANXA1,CALR,TF,IGHG1,CAT,HLA-A,PPIA,HPX,TH,IGHG2,S100A8,JCHAIN,C3,PRDX1,S100A9,IGHM,HBB,HBA1,A2M,TRY8,SERPINC1,LCN2,APOA1,GSTP1,LTF,SCGB1A1,LYZ,MPO,BPIFA1,DEFA1,ELANE,PRTN3"
"GO:BP","defense response to symbiont","GO:0140546","false","2.2084731534645803e-9","8.655907875723253","1113","66","22","21031","VIM,ANXA1,TF,IGHG1,HLA-A,HPX,IGHG2,S100A8,JCHAIN,C3,PRDX1,S100A9,IGHM,A2M,TRY8,LCN2,LTF,LYZ,BPIFA1,DEFA1,ELANE,PRTN3"
"GO:BP","immune system process","GO:0002376","false","7.253133803187227e-9","8.139474310756938","2776","66","32","21031","CTSD,VIM,MSN,LCP1,ANXA1,CALR,TF,IGHG1,HLA-A,PPIA,HPX,IGHG2,S100A8,H4C1,JCHAIN,C3,PRDX1,S100A9,IGHM,A2M,PIGR,TRY8,LCN2,APOA1,LTF,SCGB1A1,LYZ,MPO,BPIFA1,DEFA1,ELANE,PRTN3"
"GO:BP","defense response","GO:0006952","false","1.232749151257289e-8","7.909125287806683","1791","66","26","21031","VIM,ANXA1,TF,IGHG1,HLA-A,HPX,IGHG2,S100A8,JCHAIN,C3,PRDX1,S100A9,IGHM,A2M,TRY8,LCN2,APOA1,GSTP1,LTF,SCGB1A1,LYZ,MPO,BPIFA1,DEFA1,ELANE,PRTN3"
"GO:BP","response to lipid","GO:0033993","false","4.5799175820678294e-7","6.339142337274561","920","66","18","21031","VIM,FBP1,CES1,MSN,ANXA1,CALR,CAT,TH,S100A8,S100A9,A2M,ESRRA,GSTP1,LTF,SCGB1A1,MPO,DEFA1,ELANE"
"GO:BP","immune response","GO:0006955","false","7.934641515796732e-7","6.100472689731847","1988","66","25","21031","VIM,LCP1,ANXA1,TF,IGHG1,HLA-A,HPX,IGHG2,S100A8,JCHAIN,C3,PRDX1,S100A9,IGHM,A2M,PIGR,TRY8,LCN2,APOA1,LTF,LYZ,BPIFA1,DEFA1,ELANE,PRTN3"
"GO:BP","response to stimulus","GO:0050896","false","0.000003696587915726611","5.432198960544266","8976","66","52","21031","LMNA,ANXA2,CTSD,NPC2,VIM,CFL1,FBP1,ASAH1,MYL9,CES1,S100A4,ANXA5,MSN,LCP1,ANXA1,CALR,TF,IGHG1,ARHGDIB,CAT,HLA-A,PPIA,HPX,TH,IGHG2,S100A8,JCHAIN,C3,PRDX1,S100A9,IGHM,HBB,HBA1,A2M,PIGR,TRY8,SERPINC1,LCN2,ESRRA,ALDH3A1,APOA1,GSTP1,LTF,SCGB1A1,LYZ,CAPS,MPO,BPIFA1,DEFA1,ELANE,SERPINB3,PRTN3"
"GO:BP","response to oxygen-containing compound","GO:1901700","false","0.000029453827800652767","4.530858256575525","1663","66","21","21031","CTSD,VIM,FBP1,CES1,MSN,ANXA1,CALR,CAT,TH,S100A8,PRDX1,S100A9,HBB,HBA1,A2M,GSTP1,LTF,SCGB1A1,MPO,DEFA1,ELANE"
"GO:BP","cellular oxidant detoxification","GO:0098869","true","0.000029739604273723105","4.5266648146601245","94","66","7","21031","CAT,PRDX1,S100A9,HBB,HBA1,GSTP1,MPO"
"GO:BP","defense response to fungus","GO:0050832","false","0.00004990088748928814","4.301891730363121","59","66","6","21031","S100A8,S100A9,LTF,MPO,DEFA1,ELANE"
"GO:BP","hydrogen peroxide catabolic process","GO:0042744","true","0.00006934645886691991","4.158975710997639","31","66","5","21031","CAT,PRDX1,HBB,HBA1,MPO"
"GO:BP","response to chemical","GO:0042221","false","0.00007321025399382089","4.135428086413562","3957","66","32","21031","LMNA,CTSD,VIM,FBP1,ASAH1,CES1,S100A4,ANXA5,MSN,ANXA1,CALR,TF,CAT,PPIA,HPX,TH,S100A8,PRDX1,S100A9,HBB,HBA1,A2M,PIGR,ESRRA,ALDH3A1,APOA1,GSTP1,LTF,SCGB1A1,MPO,DEFA1,ELANE"
"GO:BP","cellular response to chemical stimulus","GO:0070887","false","0.00007866020657156749","4.1042449174129985","2683","66","26","21031","LMNA,CTSD,VIM,FBP1,ASAH1,CES1,MSN,ANXA1,CALR,TF,CAT,PPIA,HPX,TH,S100A8,PRDX1,S100A9,HBB,HBA1,ESRRA,ALDH3A1,APOA1,GSTP1,LTF,MPO,DEFA1"
"GO:BP","response to toxic substance","GO:0009636","false","0.00009213886263314098","4.035557153003672","238","66","9","21031","CES1,CAT,TH,PRDX1,S100A9,HBB,HBA1,GSTP1,MPO"
"GO:BP","cellular detoxification","GO:1990748","false","0.00011381202720793572","3.943811840981036","114","66","7","21031","CAT,PRDX1,S100A9,HBB,HBA1,GSTP1,MPO"
"GO:BP","response to inorganic substance","GO:0010035","false","0.00014081307083270333","3.8513570303711306","531","66","12","21031","FBP1,ANXA1,CALR,TF,CAT,TH,S100A8,PRDX1,HBB,HBA1,SCGB1A1,MPO"
"GO:BP","response to fungus","GO:0009620","false","0.00014135278140317513","3.8496956414640517","70","66","6","21031","S100A8,S100A9,LTF,MPO,DEFA1,ELANE"
"GO:BP","response to lipopolysaccharide","GO:0032496","false","0.00015084882953628697","3.8214580552463935","336","66","10","21031","VIM,TH,S100A8,S100A9,GSTP1,LTF,SCGB1A1,MPO,DEFA1,ELANE"
"GO:BP","cellular response to toxic substance","GO:0097237","false","0.00019215673784123982","3.716344382701235","123","66","7","21031","CAT,PRDX1,S100A9,HBB,HBA1,GSTP1,MPO"
"GO:BP","response to molecule of bacterial origin","GO:0002237","false","0.0002449630065775067","3.6108994962571486","354","66","10","21031","VIM,TH,S100A8,S100A9,GSTP1,LTF,SCGB1A1,MPO,DEFA1,ELANE"
"GO:BP","response to reactive oxygen species","GO:0000302","false","0.0003091608595667734","3.5098154938939","197","66","8","21031","ANXA1,CAT,PRDX1,HBB,HBA1,GSTP1,SCGB1A1,MPO"
"GO:BP","immune effector process","GO:0002252","false","0.00035749568394571424","3.446729197079334","698","66","13","21031","LCP1,ANXA1,IGHG1,HLA-A,HPX,IGHG2,C3,PRDX1,IGHM,A2M,APOA1,MPO,ELANE"
"GO:BP","innate immune response","GO:0045087","false","0.00037555459347369017","3.4253269217197837","965","66","15","21031","VIM,ANXA1,HLA-A,HPX,S100A8,JCHAIN,C3,PRDX1,S100A9,IGHM,A2M,LCN2,LTF,BPIFA1,DEFA1"
"GO:BP","detoxification","GO:0098754","false","0.00042246655525189007","3.374207666464517","138","66","7","21031","CAT,PRDX1,S100A9,HBB,HBA1,GSTP1,MPO"
"GO:BP","cell killing","GO:0001906","true","0.0006465349962798568","3.189407962230027","217","66","8","21031","IGHG1,HLA-A,C3,PRDX1,LTF,LYZ,DEFA1,ELANE"
"GO:BP","regulation of response to stress","GO:0080134","false","0.0009000790889324103","3.045719327918646","1340","66","17","21031","LMNA,ANXA2,ANXA1,HLA-A,PPIA,HPX,S100A8,C3,PRDX1,S100A9,A2M,SERPINC1,APOA1,GSTP1,LTF,SCGB1A1,ELANE"
"GO:BP","hydrogen peroxide metabolic process","GO:0042743","false","0.0013397551542705507","2.8729745634749064","55","66","5","21031","CAT,PRDX1,HBB,HBA1,MPO"
"GO:BP","humoral immune response mediated by circulating immunoglobulin","GO:0002455","false","0.0013397551542705507","2.8729745634749064","55","66","5","21031","IGHG1,HPX,IGHG2,C3,IGHM"
"GO:BP","regulation of response to external stimulus","GO:0032101","false","0.0015143818490878352","2.8197646043323177","1077","66","15","21031","ANXA2,ANXA1,CALR,HLA-A,HPX,S100A8,C3,S100A9,A2M,SERPINC1,APOA1,GSTP1,LTF,SCGB1A1,ELANE"
"GO:BP","iron ion transport","GO:0006826","true","0.001604779872883206","2.794584531202131","57","66","5","21031","FTL,TF,HPX,LCN2,LTF"
"GO:BP","autocrine signaling","GO:0035425","true","0.001706589477614432","2.767870936441618","7","66","3","21031","S100A8,S100A9,SERPINB3"
"GO:BP","acute inflammatory response to antigenic stimulus","GO:0002438","true","0.0020921924796683806","2.6793983632978287","26","66","4","21031","IGHG1,C3,A2M,ELANE"
"GO:BP","complement activation","GO:0006956","false","0.002873207112046376","2.541633067228759","64","66","5","21031","IGHG1,IGHG2,C3,IGHM,A2M"
"GO:BP","response to organic substance","GO:0010033","false","0.004247709838816783","2.371845157582118","2637","66","23","21031","CTSD,VIM,FBP1,ASAH1,CES1,ANXA5,MSN,ANXA1,CALR,CAT,HPX,TH,S100A8,S100A9,A2M,ESRRA,APOA1,GSTP1,LTF,SCGB1A1,MPO,DEFA1,ELANE"
"GO:BP","chemical homeostasis","GO:0048878","true","0.005023887948371759","2.2989600555659475","1031","66","14","21031","NAPSA,FTL,NPC2,CES1,CALR,TF,HPX,TH,S100A8,S100A9,APOA1,GSTP1,BPIFA1,ELANE"
"GO:BP","sequestering of metal ion","GO:0051238","true","0.005811831771990266","2.2356869651850477","10","66","3","21031","FTL,S100A8,S100A9"
"GO:BP","regulation of biological process","GO:0050789","false","0.005869715991150256","2.231382911777977","12287","66","56","21031","LMNA,ALDH2,ANXA2,CTSD,NPC2,VIM,CFL1,FBP1,ASAH1,PFN1,MYL9,CAPG,CES1,S100A4,ANXA5,MSN,LCP1,ANXA1,CALR,TF,IGHG1,CSTB,ARHGDIB,CAT,HLA-A,PPIA,HPX,TH,IGHG2,KRT10,S100A8,H4C1,JCHAIN,C3,PRDX1,S100A9,IGHM,HBB,A2M,PIGR,TRY8,H3-5,SERPINC1,LCN2,ESRRA,APOA1,GSTP1,LTF,SCGB1A1,CAPS,MPO,BPIFA1,DEFA1,ELANE,SERPINB3,PRTN3"
"GO:BP","response to oxidative stress","GO:0006979","false","0.006107847198970987","2.2141118362969854","393","66","9","21031","ANXA1,CAT,PPIA,PRDX1,HBB,HBA1,GSTP1,SCGB1A1,MPO"
"GO:BP","leukocyte migration","GO:0050900","false","0.006497024533106039","2.1872854933127504","396","66","9","21031","MSN,ANXA1,CALR,PPIA,S100A8,S100A9,DEFA1,ELANE,PRTN3"
"GO:BP","regulation of defense response","GO:0031347","false","0.00691636704018492","2.160121967495103","768","66","12","21031","ANXA1,HLA-A,HPX,S100A8,C3,S100A9,A2M,APOA1,GSTP1,LTF,SCGB1A1,ELANE"
"GO:BP","locomotion","GO:0040011","false","0.00814002665281108","2.0893741731022204","1234","66","15","21031","LMNA,PFN1,S100A4,MSN,ANXA1,CALR,TF,ARHGDIB,PPIA,S100A8,S100A9,APOA1,DEFA1,ELANE,SERPINB3"
"GO:BP","catabolic process","GO:0009056","false","0.009586633011857526","2.0183338976392298","2556","66","22","21031","ALDH2,ANXA2,CTSD,VIM,FBP1,ASAH1,CES1,MSN,PGD,CAT,TPI1,S100A8,UBC,PRDX1,S100A9,HBB,HBA1,TRY8,SCGB1A1,MPO,ELANE,PRTN3"
"GO:BP","antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844","false","0.010450449319550555","1.9808650365571017","83","66","5","21031","S100A9,LTF,BPIFA1,DEFA1,ELANE"
"GO:BP","multicellular organismal process","GO:0032501","true","0.010876601704722993","1.9635067748053323","7669","66","42","21031","LMNA,NAPSA,ANXA2,VIM,CFL1,PFN1,MYL9,CAPG,ANXA5,MSN,LCP1,ANXA1,CALR,TF,CSTB,ARHGDIB,CAT,HLA-A,PPIA,TH,KRT14,S100A8,H4C1,JCHAIN,C3,PRDX1,S100A9,IGHM,HBB,A2M,PIGR,TRY8,SERPINC1,LCN2,APOA1,GSTP1,LTF,SCGB1A1,MPO,BPIFA1,ELANE,SERPINB3"
"GO:BP","cellular response to stimulus","GO:0051716","false","0.01189596856600685","1.9246001920674578","7394","66","41","21031","LMNA,CTSD,VIM,CFL1,FBP1,ASAH1,CES1,S100A4,ANXA5,MSN,LCP1,ANXA1,CALR,TF,IGHG1,ARHGDIB,CAT,HLA-A,PPIA,HPX,TH,IGHG2,S100A8,C3,PRDX1,S100A9,IGHM,HBB,HBA1,PIGR,ESRRA,ALDH3A1,APOA1,GSTP1,LTF,SCGB1A1,CAPS,MPO,DEFA1,ELANE,SERPINB3"
"GO:BP","positive regulation of biological process","GO:0048518","false","0.0120735292952575","1.9181657597776527","6250","66","37","21031","LMNA,ANXA2,CTSD,VIM,CFL1,PFN1,CES1,S100A4,MSN,LCP1,ANXA1,CALR,TF,IGHG1,CAT,HLA-A,PPIA,HPX,IGHG2,KRT10,S100A8,JCHAIN,C3,S100A9,IGHM,HBB,A2M,TRY8,H3-5,LCN2,ESRRA,APOA1,GSTP1,LTF,ELANE,SERPINB3,PRTN3"
"GO:BP","regulation of response to stimulus","GO:0048583","false","0.012555183497579185","1.9011769355672499","3939","66","28","21031","LMNA,ANXA2,CTSD,FBP1,S100A4,ANXA1,CALR,IGHG1,ARHGDIB,CAT,HLA-A,PPIA,HPX,IGHG2,S100A8,C3,PRDX1,S100A9,IGHM,A2M,PIGR,SERPINC1,APOA1,GSTP1,LTF,SCGB1A1,ELANE,SERPINB3"
"GO:BP","complement activation, classical pathway","GO:0006958","false","0.013679907741499823","1.8639168315261836","41","66","4","21031","IGHG1,IGHG2,C3,IGHM"
"GO:BP","leukocyte aggregation","GO:0070486","true","0.013758452338642192","1.8614304162887367","13","66","3","21031","MSN,S100A8,S100A9"
"GO:BP","aggregation of unicellular organisms","GO:0098630","false","0.01616615899274926","1.791393154268501","2","66","2","21031","LTF,BPIFA1"
"GO:BP","neutrophil aggregation","GO:0070488","false","0.01616615899274926","1.791393154268501","2","66","2","21031","S100A8,S100A9"
"GO:BP","regulation of single-species biofilm formation","GO:1900190","false","0.01616615899274926","1.791393154268501","2","66","2","21031","LTF,BPIFA1"
"GO:BP","negative regulation of single-species biofilm formation","GO:1900191","false","0.01616615899274926","1.791393154268501","2","66","2","21031","LTF,BPIFA1"
"GO:BP","regulation of single-species biofilm formation in or on host organism","GO:1900228","true","0.01616615899274926","1.791393154268501","2","66","2","21031","LTF,BPIFA1"
"GO:BP","negative regulation of single-species biofilm formation in or on host organism","GO:1900229","false","0.01616615899274926","1.791393154268501","2","66","2","21031","LTF,BPIFA1"
"GO:BP","sequestering of zinc ion","GO:0032119","false","0.01616615899274926","1.791393154268501","2","66","2","21031","S100A8,S100A9"
"GO:BP","single-species biofilm formation in or on host organism","GO:0044407","false","0.01616615899274926","1.791393154268501","2","66","2","21031","LTF,BPIFA1"
"GO:BP","single-species biofilm formation","GO:0044010","false","0.01616615899274926","1.791393154268501","2","66","2","21031","LTF,BPIFA1"
"GO:BP","biofilm formation","GO:0042710","false","0.01616615899274926","1.791393154268501","2","66","2","21031","LTF,BPIFA1"
"GO:BP","defense response to Gram-negative bacterium","GO:0050829","false","0.016418279942535446","1.7846723435986909","91","66","5","21031","IGHM,LTF,LYZ,DEFA1,ELANE"
"GO:BP","supramolecular fiber organization","GO:0097435","true","0.01756279797216551","1.7554062944052526","842","66","12","21031","ANXA2,VIM,CFL1,PFN1,MYL9,CAPG,LCP1,TF,CSTB,KRT10,KRT14,APOA1"
"GO:BP","maintenance of location","GO:0051235","false","0.01858410892886835","1.7308582576273324","341","66","8","21031","FTL,NPC2,CES1,CALR,S100A8,C3,S100A9,APOA1"
"GO:BP","regulation of immune system process","GO:0002682","false","0.021485299071303407","1.6678585966408752","1512","66","16","21031","MSN,ANXA1,CALR,IGHG1,HLA-A,HPX,IGHG2,H4C1,C3,IGHM,A2M,PIGR,APOA1,LTF,SCGB1A1,ELANE"
"GO:BP","cytoskeleton organization","GO:0007010","true","0.021485299071303407","1.6678585966408752","1512","66","16","21031","LMNA,VIM,CFL1,PFN1,MYL9,CAPG,MSN,LCP1,ANXA1,CALR,TF,KRT10,KRT14,S100A8,S100A9,APOA1"
"GO:BP","biological regulation","GO:0065007","false","0.022219357732486417","1.6532684988275728","12680","66","56","21031","LMNA,ALDH2,ANXA2,CTSD,NPC2,VIM,CFL1,FBP1,ASAH1,PFN1,MYL9,CAPG,CES1,S100A4,ANXA5,MSN,LCP1,ANXA1,CALR,TF,IGHG1,CSTB,ARHGDIB,CAT,HLA-A,PPIA,HPX,TH,IGHG2,KRT10,S100A8,H4C1,JCHAIN,C3,PRDX1,S100A9,IGHM,HBB,A2M,PIGR,TRY8,H3-5,SERPINC1,LCN2,ESRRA,APOA1,GSTP1,LTF,SCGB1A1,CAPS,MPO,BPIFA1,DEFA1,ELANE,SERPINB3,PRTN3"
"GO:BP","chemotaxis","GO:0006935","false","0.02279852647692038","1.6420932215794808","463","66","9","21031","S100A4,ANXA1,CALR,PPIA,S100A8,S100A9,APOA1,DEFA1,ELANE"
"GO:BP","taxis","GO:0042330","false","0.02359196438014505","1.6272358961665894","465","66","9","21031","S100A4,ANXA1,CALR,PPIA,S100A8,S100A9,APOA1,DEFA1,ELANE"
"GO:BP","transition metal ion transport","GO:0000041","false","0.024768103389843827","1.6061072481118275","99","66","5","21031","FTL,TF,HPX,LCN2,LTF"
"GO:BP","homeostatic process","GO:0042592","false","0.02488101974675236","1.6041318240892632","1712","66","17","21031","NAPSA,FTL,NPC2,CES1,ANXA1,CALR,TF,HPX,TH,S100A8,PRDX1,S100A9,LCN2,APOA1,GSTP1,BPIFA1,ELANE"
"GO:BP","cellular response to lipid","GO:0071396","false","0.031439464966974744","1.5025248533408881","609","66","10","21031","VIM,FBP1,CES1,MSN,ANXA1,CALR,ESRRA,GSTP1,LTF,DEFA1"
"GO:BP","regulation of inflammatory response","GO:0050727","false","0.03683533310929574","1.4337353983793462","375","66","8","21031","ANXA1,S100A8,C3,S100A9,APOA1,GSTP1,SCGB1A1,ELANE"
"GO:BP","acute inflammatory response","GO:0002526","false","0.03777185465715133","1.4228316901104823","108","66","5","21031","IGHG1,C3,A2M,GSTP1,ELANE"
"GO:BP","cellular catabolic process","GO:0044248","false","0.04331276674904426","1.363384073359414","1600","66","16","21031","ALDH2,ANXA2,CTSD,VIM,FBP1,ASAH1,PGD,CAT,TPI1,S100A8,PRDX1,S100A9,HBB,HBA1,SCGB1A1,MPO"
"KEGG","Glycolysis / Gluconeogenesis","KEGG:00010","false","0.0446696800650039","1.3499871580385925","67","49","4","8484","ALDH2,FBP1,TPI1,ALDH3A1"
"REAC","Neutrophil degranulation","REAC:R-HSA-6798695","false","1.0794174247755944e-13","12.966810575502963","476","61","23","10842","ANXA2,CTSD,FTL,NPC2,ASAH1,CSTB,CAT,PPIA,S100A8,C3,S100A9,HBB,PIGR,TRY8,LCN2,GSTP1,LTF,LYZ,MPO,DEFA1,ELANE,SERPINB3,PRTN3"
"REAC","Innate Immune System","REAC:R-HSA-168249","false","2.978462087014939e-10","9.526007923684995","1101","61","28","10842","ANXA2,CTSD,FTL,NPC2,CFL1,ASAH1,IGHG1,CSTB,CAT,PPIA,IGHG2,S100A8,C3,UBC,S100A9,HBB,PIGR,TRY8,LCN2,GSTP1,LTF,LYZ,MPO,BPIFA1,DEFA1,ELANE,SERPINB3,PRTN3"
"REAC","Immune System","REAC:R-HSA-168256","false","1.0096776508142995e-8","7.995817256729734","2052","61","35","10842","ANXA2,CTSD,FTL,NPC2,VIM,CFL1,ASAH1,MSN,LCP1,ANXA1,CALR,IGHG1,CSTB,CAT,HLA-A,PPIA,IGHG2,S100A8,C3,UBC,S100A9,IGHM,HBB,PIGR,TRY8,LCN2,GSTP1,LTF,LYZ,MPO,BPIFA1,DEFA1,ELANE,SERPINB3,PRTN3"
"REAC","Antimicrobial peptides","REAC:R-HSA-6803157","false","4.83526215881049e-8","7.315579974313504","97","61","10","10842","S100A8,S100A9,TRY8,LCN2,LTF,LYZ,BPIFA1,DEFA1,ELANE,PRTN3"
"REAC","Metal sequestration by antimicrobial proteins","REAC:R-HSA-6799990","false","0.000005148631005940162","5.288308232240819","6","61","4","10842","S100A8,S100A9,LCN2,LTF"
"REAC","Binding and Uptake of Ligands by Scavenger Receptors","REAC:R-HSA-2173782","false","0.00041384158556250096","3.383165870671548","97","61","7","10842","FTL,CALR,HPX,JCHAIN,HBB,HBA1,APOA1"
"REAC","Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation","REAC:R-HSA-8950505","false","0.0007925715196463206","3.1009615377079545","38","61","5","10842","ANXA2,CFL1,MSN,LCP1,PPIA"
"REAC","Platelet degranulation ","REAC:R-HSA-114608","false","0.0022727124594572653","2.6434555071568386","125","61","7","10842","CFL1,PFN1,ANXA5,TF,PPIA,A2M,APOA1"
"REAC","Interleukin-12 signaling","REAC:R-HSA-9020591","false","0.002329993059954307","2.632645372548246","47","61","5","10842","ANXA2,CFL1,MSN,LCP1,PPIA"
"REAC","Response to elevated platelet cytosolic Ca2+","REAC:R-HSA-76005","false","0.0029456680203215533","2.5308162001500714","130","61","7","10842","CFL1,PFN1,ANXA5,TF,PPIA,A2M,APOA1"
"REAC","Interleukin-12 family signaling","REAC:R-HSA-447115","false","0.006092004557848084","2.2152397804102675","57","61","5","10842","ANXA2,CFL1,MSN,LCP1,PPIA"
"REAC","Amyloid fiber formation","REAC:R-HSA-977225","false","0.012807596484253423","1.8925323637419966","110","61","6","10842","H4C1,UBC,H2AC7,APOA1,LTF,LYZ"
"REAC","Scavenging of heme from plasma","REAC:R-HSA-2168880","false","0.015528437173320923","1.808872250720654","69","61","5","10842","HPX,JCHAIN,HBB,HBA1,APOA1"
"REAC","Signaling by Interleukins","REAC:R-HSA-449147","false","0.02059214712860041","1.6862983674428442","471","61","11","10842","ANXA2,VIM,CFL1,MSN,LCP1,ANXA1,IGHG1,PPIA,UBC,LCN2,PRTN3"
"REAC","Hemostasis","REAC:R-HSA-109582","false","0.02791508518842687","1.5541610424756596","672","61","13","10842","ANXA2,CFL1,PFN1,ANXA5,TF,PPIA,JCHAIN,IGHM,HBB,A2M,SERPINC1,APOA1,PRTN3"
"REAC","Smooth Muscle Contraction","REAC:R-HSA-445355","false","0.036252510006655365","1.4406619189053402","43","61","4","10842","ALDH2,ANXA2,MYL9,ANXA1"
"REAC","Cellular response to chemical stress","REAC:R-HSA-9711123","false","0.0400293321424791","1.3976216556919374","195","61","7","10842","PGD,CAT,UBC,PRDX1,HBB,HBA1,GSTP1"
"WP","Selenium micronutrient network","WP:WP15","false","0.0013541104405185","2.8683459133822167","86","48","6","8286","CAT,PRDX1,HBB,HBA1,APOA1,MPO"
"WP","Folate metabolism","WP:WP176","false","0.006695035336267078","2.1742471264480434","69","48","5","8286","CAT,HBB,HBA1,APOA1,MPO"
"WP","Prostaglandin synthesis and regulation","WP:WP98","false","0.018519234220449012","1.732376975575753","45","48","4","8286","ANXA2,ANXA5,ANXA1,SCGB1A1"
"WP","NRF2 pathway","WP:WP2884","false","0.022202582220891998","1.6535965129787125","141","48","6","8286","FTL,CES1,PGD,PRDX1,ALDH3A1,GSTP1"
"WP","Vitamin B12 metabolism","WP:WP1533","false","0.030280208393324293","1.5188411402763449","51","48","4","8286","HBB,HBA1,APOA1,MPO"
